week_id,date,RON95,RON97,diesel,myr_per_usd_mean,sunset_mean_time_perak,height_mean_m_perak,height_mean_m_sabah
W4_JUN25,2025/06/26,2.05,3.21,2.882,4.23425,1171.038888888889,1.661734693877551,1.1773809523809524
W1_JUL25,2025/07/03,2.05,3.18,2.852,4.2075000000000005,1172.4928571428572,1.5816326530612246,1.174404761904762
W2_JUL25,2025/07/10,2.05,3.18,2.882,4.2417,1173.2761904761903,1.656122448979592,1.200595238095238
W3_JUL25,2025/07/17,2.05,3.21,2.912,4.2423,1173.5833333333333,1.6018707482993195,1.2
W4_JUL25,2025/07/24,2.05,3.21,2.912,4.2163,1173.3595238095238,1.6630952380952382,1.2339285714285713
W5_JUL25,2025/07/31,2.05,3.17,2.912,4.234500000000001,1172.8666666666666,1.646825396825397,1.1875
W1_AUG25,2025/08/07,2.05,3.17,2.942,4.237900000000001,1172.0547619047618,1.58078231292517,1.2035714285714287
W2_AUG25,2025/08/14,2.05,3.13,2.902,4.2187,1170.4714285714283,1.6835034013605443,1.207142857142857
W3_AUG25,2025/08/21,2.05,3.13,2.852,4.2179,1168.3904761904762,1.5921768707482993,1.217857142857143
W4_AUG25,2025/08/28,2.05,3.16,2.882,4.2117,1165.8738095238095,1.6620748299319728,1.2029761904761906
W1_SEP25,2025/09/04,2.05,3.16,2.882,4.222833333333333,1161.6928571428573,1.6124149659863947,1.2047619047619047
W2_SEP25,2025/09/11,2.05,3.18,2.902,4.209300000000001,1158.5,1.6938775510204083,1.1783333333333335
W3_SEP25,2025/09/18,2.05,3.21,2.932,4.190833333333333,1155.2142857142858,1.616156462585034,1.2226190476190477
W4_SEP25,2025/09/25,2.05,3.21,2.932,4.2029,1151.95,1.679421768707483,1.1577380952380951
W5_SEP25,2025/09/30,2.6,3.21,2.932,4.2085,1149.9083333333333,1.6529761904761904,1.1625
W2_OCT25,2025/10/09,2.6,3.18,2.932,4.2157,1145.2142857142858,1.7093537414965987,1.1023809523809525
W3_OCT25,2025/10/16,2.6,3.18,2.932,4.2185,1142.8809523809523,1.650170068027211,1.168452380952381
W4_OCT25,2025/10/23,2.6,3.14,2.892,4.2145,1141.0738095238096,1.7164965986394558,1.0666666666666667
W5_OCT25,2025/10/30,2.6,3.2,2.952,4.187833333333333,1140.15,1.6908730158730159,1.1583333333333334
W1_NOV25,2025/11/06,2.6,3.2,3.022,4.189439999999999,1139.6214285714286,1.7015306122448979,1.1577380952380951
W2_NOV25,2025/11/13,2.65,3.25,3.072,4.1393,1139.4857142857145,1.7180272108843537,1.0470238095238096
W3_NOV25,2025/11/20,2.65,3.28,3.102,4.1441,1140.1142857142856,1.691326530612245,1.1077380952380953
W4_NOV25,2025/11/27,2.63,3.26,3.082,4.128100000000001,1141.497619047619,1.7537414965986395,1.0083333333333333
W1_DEC25,2025/12/04,2.66,3.29,3.082,4.1197,1144.2857142857142,1.7333333333333334,1.0869047619047618
W2_DEC25,2025/12/11,2.64,3.27,3.062,4.1079,1147.1,1.7314625850340137,1.0202380952380952
W3_DEC25,2025/12/18,2.62,3.24,3.022,4.0845,1150.3285714285714,1.7258503401360543,1.0625
W4_DEC25,2025/12/25,2.56,3.16,2.942,4.055,1153.790476190476,1.767517006802721,0.969047619047619
