week_id,date,RON95,RON97,diesel,myr_per_usd_mean,sunset_mean_time_perak,height_mean_m_perak,height_mean_m_sabah
W1_APR20,2020-04-01,1.43,1.73,1.61,4.348962464833387,19:26,1.55952381,1.125
W2_APR20,2020-04-08,1.67,1.97,1.85,4.330437149137883,19:25,1.61547619,1.010119048
W3_APR20,2020-04-15,1.25,1.55,1.46,4.351138981031721,19:24,1.535119048,1.135714286
W4_APR20,2020-04-22,1.25,1.55,1.43,4.367393150551167,19:23,1.579166667,1.038095238
W1_MAY20,2020-05-01,1.43,1.73,1.61,4.3247561189841095,19:23,1.579166667,1.070833333
W2_MAY20,2020-05-08,1.25,1.55,1.4,4.341110243565117,19:24,1.536309524,1.198214286
W3_MAY20,2020-05-15,1.31,1.61,1.45,4.355954249309346,19:24,1.528571429,1.09047619
W4_MAY20,2020-05-22,1.38,1.68,1.51,4.352972730769134,19:26,1.586904762,1.191071429
W1_JUN20,2020-06-01,2.08,2.4,2.13,4.275657043048222,19:27,1.506547619,1.107738095
W2_JUN20,2020-06-08,1.46,1.76,1.625,4.264671692858632,19:29,1.574404762,1.192857143
W3_JUN20,2020-06-15,1.56,1.86,1.73,4.272988272322199,19:30,1.492857143,1.15297619
W4_JUN20,2020-06-22,1.59,1.89,1.77,4.278474861393361,19:32,1.601785714,1.183928571
W1_JUL20,2020-07-01,2.08,2.41,2.18,4.286327293096538,19:33,1.491666667,1.179166667
W2_JUL20,2020-07-08,1.68,1.98,1.83,4.269339037896841,19:34,1.582738095,1.214285714
W3_JUL20,2020-07-15,1.72,2.02,1.87,4.264913892328528,19:34,1.486309524,1.193452381
W4_JUL20,2020-07-22,1.72,2.02,1.87,4.260244579836598,19:34,1.605952381,1.20952381
W1_AUG20,2020-08-01,1.25,1.55,1.4,4.198964489008247,19:32,1.576190476,1.208333333
W2_AUG20,2020-08-08,1.63,1.93,1.79,4.193626080448026,19:30,1.51547619,1.208928571
W3_AUG20,2020-08-15,1.68,1.98,1.82,4.180109961948785,19:28,1.5875,1.200595238
W4_AUG20,2020-08-22,1.71,2.01,1.8,4.168655348719319,19:26,1.528571429,1.217857143
W1_SEP20,2020-09-01,1.755,2.065,1.87,4.149634502679573,19:22,1.579166667,1.202380952
W2_SEP20,2020-09-08,1.65,1.95,1.81,4.160240512217376,19:19,1.529761905,1.189285714
W3_SEP20,2020-09-15,1.66,1.96,1.72,4.127149311839687,19:16,1.600595238,1.179761905
W4_SEP20,2020-09-22,1.63,1.93,1.67,4.1561155344187535,19:12,1.550595238,1.19047619
W1_OCT20,2020-10-01,1.65,1.95,1.84,4.147915480521163,19:06,1.598214286,1.15952381
W2_OCT20,2020-10-08,1.65,1.95,1.81,4.148397009622949,19:04,1.585714286,1.164880952
W3_OCT20,2020-10-15,1.63,1.93,1.67,4.146923687265343,19:02,1.63452381,1.122619048
W4_OCT20,2020-10-22,1.63,1.93,1.67,4.157267617275001,19:00,1.59047619,1.14702381
W1_NOV20,2020-11-01,1.71,2.01,1.78,4.144020746117556,18:59,1.644047619,1.063095238
W2_NOV20,2020-11-08,1.7,2.0,1.9,4.120813581265094,18:59,1.616071429,1.13452381
W3_NOV20,2020-11-15,1.62,1.92,1.74,4.098382728067217,19:00,1.680952381,1.016666667
W4_NOV20,2020-11-22,1.64,1.94,1.81,4.077375668112867,19:01,1.613690476,1.106547619
W1_DEC20,2020-12-01,1.48,1.78,1.63,4.068835577497219,19:04,1.677380952,0.983928571
W2_DEC20,2020-12-08,1.67,1.97,1.83,4.060343284323581,19:06,1.635119048,1.088690476
